Date,DNP,PGN,PKO,PKN
2017-11-10,64.0,6.0578,37.042,107.72
2017-11-13,64.4,5.6798,37.998,107.63
2017-11-14,66.0,5.7166,38.275,110.58
2017-11-15,66.77,5.6521,37.835,106.15
2017-11-16,66.5,5.5229,38.218,100.88
2017-11-17,67.2,5.6244,38.953,104.89
2017-11-20,67.3,5.818,39.411,105.62
2017-11-21,67.99,5.7535,39.593,104.94
2017-11-22,71.1,5.7258,39.976,104.45
2017-11-23,72.6,5.7535,40.319,106.58
2017-11-24,74.7,5.6982,40.129,103.67
2017-11-27,74.3,5.6429,40.606,106.58
2017-11-28,77.0,5.5507,40.988,105.8
2017-11-29,75.42,5.5507,40.129,100.92
2017-11-30,72.84,5.56,40.415,96.4
2017-12-01,72.35,5.357,40.1,92.834
2017-12-04,72.5,5.4031,39.756,93.885
2017-12-05,77.25,5.44,39.756,96.486
2017-12-06,72.89,5.4584,38.791,99.141
2017-12-07,74.0,5.4493,39.431,97.181
2017-12-08,73.0,5.4676,40.1,96.629
2017-12-11,74.99,5.4676,40.147,89.095
2017-12-12,74.09,5.6244,40.386,91.309
2017-12-13,76.54,5.5507,40.453,91.535
2017-12-14,77.01,5.4584,41.084,92.446
2017-12-15,77.5,5.4676,41.322,92.401
2017-12-18,76.95,5.7073,41.524,94.316
2017-12-19,78.32,5.6706,41.275,94.887
2017-12-20,76.43,5.6059,41.982,93.707
2017-12-21,75.2,5.5507,41.848,96.438
2017-12-22,74.57,5.6337,41.322,96.705
2017-12-27,75.6,5.8734,42.326,98.323
2017-12-28,77.5,5.7443,42.737,95.182
2017-12-29,78.8,5.7997,42.335,92.23
2018-01-03,81.6,5.7258,41.408,91.788
2018-01-04,81.6,5.8088,42.087,93.096
2018-01-05,82.5,5.7812,42.297,92.788
2018-01-08,83.15,5.7258,43.08,96.058
2018-01-09,81.45,5.772,43.043,93.096
2018-01-10,78.5,5.735,42.756,92.274
2018-01-11,77.5,5.8088,43.472,93.14
2018-01-12,77.8,5.855,43.463,93.529
2018-01-15,77.8,5.9286,43.472,92.834
2018-01-16,79.75,6.15,44.389,95.182
2018-01-17,80.0,6.1961,44.285,95.667
2018-01-18,82.15,6.2329,44.428,94.624
2018-01-19,82.0,6.2329,44.198,94.662
2018-01-22,82.85,6.1593,44.342,97.447
2018-01-23,83.6,6.2422,44.838,98.323
2018-01-24,83.7,6.2606,45.47,96.847
2018-01-25,80.2,6.2975,44.361,91.751
2018-01-26,82.9,6.15,43.855,95.22
2018-01-29,82.0,6.1776,43.902,95.144
2018-01-30,82.0,6.0855,44.016,93.838
2018-01-31,83.5,6.0486,43.625,94.4
2018-02-01,85.0,6.067,43.033,93.885
2018-02-02,88.2,6.0763,42.994,89.748
2018-02-05,84.7,5.9933,42.708,91.183
2018-02-06,80.25,5.772,41.246,86.137
2018-02-07,83.0,5.772,42.221,87.615
2018-02-08,80.0,5.6429,40.959,82.673
2018-02-09,79.65,5.6891,40.73,81.351
2018-02-12,81.1,5.855,41.456,82.691
2018-02-13,81.4,5.9011,41.361,83.822
2018-02-14,80.35,5.9471,41.437,84.535
2018-02-15,80.5,5.818,41.132,82.029
2018-02-16,83.25,5.8088,40.09,81.961
2018-02-19,83.0,5.7073,40.864,81.768
2018-02-20,83.3,5.7166,41.084,83.091
2018-02-21,82.35,5.8273,40.988,83.091
2018-02-22,82.5,5.6982,42.058,81.108
2018-02-23,83.0,5.7535,41.829,80.917
2018-02-26,84.55,5.7258,42.039,81.699
2018-02-27,84.95,5.6152,42.144,85.963
2018-02-28,85.35,5.5876,41.151,83.979
2018-03-01,83.3,5.6244,40.51,83.405
2018-03-02,83.0,5.5137,40.319,82.83
2018-03-05,84.5,5.5137,41.342,80.586
2018-03-06,85.0,5.4676,40.692,81.786
2018-03-07,89.0,5.4676,40.969,81.683
2018-03-08,88.6,5.5783,38.838,80.047
2018-03-09,90.95,5.6706,39.374,81.786
2018-03-12,91.45,5.6891,40.406,83.317
2018-03-13,92.2,5.5507,39.89,82.413
2018-03-14,90.0,5.4493,40.071,79.853
2018-03-15,89.75,5.5045,38.981,79.35
2018-03-16,91.1,5.4584,38.447,76.949
2018-03-19,90.45,5.4769,38.218,76.304
2018-03-20,86.2,5.4123,39.536,75.034
2018-03-21,90.6,5.3847,40.606,78.898
2018-03-22,89.15,5.3939,39.068,76.879
2018-03-23,87.5,5.44,38.867,74.826
2018-03-26,85.65,5.3939,38.695,75.696
2018-03-27,89.35,5.311,38.791,75.017
2018-03-28,84.9,5.3294,38.074,72.736
2018-03-29,86.85,5.2095,38.638,73.189
2018-04-03,85.1,5.1634,38.59,76.096
2018-04-04,86.35,4.979,37.558,74.686
2018-04-05,86.9,5.2648,37.969,77.888
2018-04-06,89.55,5.4031,37.606,80.724
2018-04-09,90.0,5.4952,37.931,78.619
2018-04-10,90.95,5.5415,38.036,77.47
2018-04-11,90.45,5.5692,38.208,77.802
2018-04-12,91.9,5.5415,39.411,79.438
2018-04-13,91.9,5.5783,39.411,79.176
2018-04-16,92.3,5.5967,39.03,79.577
2018-04-17,94.0,5.6429,39.813,76.531
2018-04-18,94.5,5.7073,39.794,76.966
2018-04-19,93.5,5.6798,39.766,77.47
2018-04-20,90.9,5.56,39.02,76.479
2018-04-23,90.05,5.5783,39.421,77.384
2018-04-24,90.5,5.5783,39.326,75.887
2018-04-25,91.0,5.5507,39.068,75.435
2018-04-26,90.75,5.7073,40.042,78.271
2018-04-27,92.25,5.6521,39.564,78.183
2018-04-30,95.0,5.6982,39.976,78.045
2018-05-02,95.8,5.6152,40.205,75.939
2018-05-04,97.1,5.56,38.819,72.894
2018-05-07,96.25,5.6059,38.141,70.91
2018-05-08,96.65,5.7166,39.526,71.607
