Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2017-07-10,5.7894,5.8699,5.7805,5.8073,1997051
2017-07-11,5.8341,5.8699,5.7445,5.7716,1337773
2017-07-12,5.7715,5.9146,5.7624,5.9146,4155048
2017-07-13,5.9146,5.9772,5.8608,5.9772,4337964
2017-07-14,5.9656,6.0393,5.9656,6.0301,2954417
2017-07-17,5.9933,6.1223,5.9933,6.0578,4159495
2017-07-18,6.0855,6.1593,6.0301,6.0393,3825318
2017-07-19,6.0578,6.2053,6.0393,6.2053,2837825
2017-07-20,6.2053,6.2053,6.0486,6.0947,3664519
2017-07-21,6.0947,6.1223,5.9933,5.9933,2675624
2017-07-24,6.0117,6.0393,5.9563,6.0117,1882089
2017-07-25,6.0393,6.0855,5.9656,5.9656,3347108
2017-07-26,5.9933,6.0486,5.9933,6.0486,1570087
2017-07-27,6.0393,6.0486,5.9748,6.0209,1382202
2017-07-28,6.0025,6.0763,5.9471,6.0763,2626901
2017-07-31,6.0025,6.1593,6.0025,6.1593,3786493
2017-08-01,6.1593,6.2237,6.1316,6.2237,2942217
2017-08-02,6.2146,6.2146,6.0947,6.1776,2037561
2017-08-03,6.0947,6.1869,6.0578,6.1593,2604798
2017-08-04,6.104,6.1961,6.104,6.1684,1931214
2017-08-07,6.1593,6.1593,6.0855,6.1593,1578931
2017-08-08,6.1316,6.1684,6.1132,6.1684,2043763
2017-08-09,6.1684,6.1776,6.0393,6.104,2159454
2017-08-10,6.0578,6.104,6.0025,6.0393,2659166
2017-08-11,6.0209,6.0393,5.9656,6.0025,2421642
2017-08-14,6.0025,6.0486,5.9748,6.0209,1134415
2017-08-16,6.0393,6.0578,6.0117,6.0117,2857512
2017-08-17,5.9748,5.9933,5.8642,5.9286,3483860
2017-08-18,5.8734,6.0301,5.855,6.0301,3070076
2017-08-21,6.0301,6.0486,5.9563,6.0393,1629814
2017-08-22,6.0393,6.0393,5.9748,6.0301,1511921
2017-08-23,6.0117,6.0301,5.9656,5.984,1584818
2017-08-24,5.984,6.1776,5.984,6.1776,4876184
2017-08-25,6.1776,6.1961,6.0855,6.1776,2966137
2017-08-28,6.1593,6.4082,6.1223,6.4082,6485010
2017-08-29,6.316,6.4266,6.279,6.3806,5286239
2017-08-30,6.3621,6.4082,6.2606,6.4082,4600857
2017-08-31,6.3621,6.3621,6.2514,6.2975,8634334
2017-09-01,6.2606,6.3621,6.1869,6.3621,4132418
2017-09-04,6.279,6.3252,6.2699,6.2882,1479879
2017-09-05,6.3252,6.4082,6.316,6.3621,3418588
2017-09-06,6.3621,6.3989,6.2975,6.3529,2769233
2017-09-07,6.3068,6.3898,6.279,6.316,3102141
2017-09-08,6.2975,6.3621,6.2237,6.2514,2708551
2017-09-11,6.2514,6.279,6.2053,6.2422,2065014
2017-09-12,6.2699,6.3344,6.1776,6.1776,2259718
2017-09-13,6.1869,6.3529,6.1776,6.3529,2599149
2017-09-14,6.3252,6.3989,6.3252,6.3621,4146743
2017-09-15,6.3344,6.4082,6.316,6.3713,9536458
2017-09-18,6.3806,6.3898,6.2882,6.2975,1567696
2017-09-19,6.2975,6.2975,6.2329,6.2329,1535091
2017-09-20,6.2329,6.2975,6.1776,6.2975,1562067
2017-09-21,6.2606,6.2882,6.1869,6.2329,3562163
2017-09-22,6.2053,6.316,6.2053,6.2975,1330104
2017-09-25,6.2329,6.2422,6.15,6.2053,2479798
2017-09-26,6.1961,6.2606,6.1408,6.2606,4438245
2017-09-27,6.2606,6.2606,6.0947,6.1132,2045117
2017-09-28,6.1132,6.1961,6.0947,6.1316,3242036
2017-09-29,6.1316,6.3068,6.1316,6.2606,3065180
2017-10-02,6.2975,6.316,6.1961,6.2514,3780543
2017-10-03,6.2514,6.2882,6.15,6.1593,2332561
2017-10-04,6.1961,6.2329,6.0947,6.1223,3252174
2017-10-05,6.1316,6.2329,6.1316,6.1869,1945025
2017-10-06,6.1961,6.3344,6.1961,6.2146,5428878
2017-10-09,6.2422,6.3344,6.2329,6.3344,3016897
2017-10-10,6.3344,6.3806,6.2699,6.316,3111053
2017-10-11,6.3436,6.3989,6.279,6.3989,4624633
2017-10-12,6.3989,6.4358,6.3436,6.3436,3312538
2017-10-13,6.3806,6.4174,6.3068,6.3068,2063983
2017-10-16,6.3529,6.4358,6.3252,6.3989,3281292
2017-10-17,6.3806,6.4082,6.3344,6.3344,2239145
2017-10-18,6.3252,6.3806,6.2237,6.2606,3134826
2017-10-19,6.3068,6.3068,6.1593,6.1593,2790680
2017-10-20,6.1593,6.2329,6.1316,6.1316,2270163
2017-10-23,6.1776,6.2237,6.15,6.2237,2323821
2017-10-24,6.2146,6.2146,6.1132,6.1132,3276663
2017-10-25,6.1223,6.2422,6.1223,6.2422,2064573
2017-10-26,6.1961,6.2329,6.104,6.1223,2821577
2017-10-27,6.1132,6.1776,6.1132,6.1593,3049389
2017-10-30,6.1776,6.1776,6.1132,6.1408,1710138
2017-10-31,6.1408,6.1684,6.104,6.1684,3972127
2017-11-02,6.1684,6.1776,6.104,6.1132,2841801
2017-11-03,6.1316,6.1684,6.0209,6.0578,3053560
2017-11-06,6.067,6.1223,6.0025,6.0486,3637866
2017-11-07,6.067,6.2422,6.067,6.2422,4435259
2017-11-08,6.1961,6.2699,6.1684,6.1961,2816541
2017-11-09,6.2237,6.2422,6.1316,6.2053,2259609
2017-11-10,6.2053,6.2053,6.0578,6.0578,3062128
2017-11-13,5.9103,6.0117,5.6798,5.6798,11404947
2017-11-14,5.6982,5.8088,5.6982,5.7166,3739810
2017-11-15,5.7258,5.772,5.6429,5.6521,2202675
2017-11-16,5.6982,5.6982,5.4584,5.5229,6828511
2017-11-17,5.5415,5.6798,5.5323,5.6244,1981874
2017-11-20,5.6429,5.818,5.6429,5.818,2029603
2017-11-21,5.8365,5.8457,5.6982,5.7535,2016951
2017-11-22,5.8088,5.8734,5.6614,5.7258,4323617
2017-11-23,5.6798,5.7997,5.6798,5.7535,1979631
2017-11-24,5.7258,5.7812,5.6891,5.6982,1681039
2017-11-27,5.7166,5.7166,5.5967,5.6429,2330981
2017-11-28,5.6429,5.6521,5.5507,5.5507,2702229
2017-11-29,5.56,5.6244,5.5323,5.5507,3372568
2017-11-30,5.5507,5.6429,5.5507,5.56,8374144
2017-12-01,5.56,5.6152,5.2833,5.357,7280588
2017-12-04,5.3939,5.4676,5.3294,5.4031,3512469
2017-12-05,5.4031,5.5323,5.4031,5.44,2569093
2017-12-06,5.4308,5.5692,5.3939,5.4584,5953972
2017-12-07,5.4769,5.5783,5.4308,5.4493,5177210
2017-12-08,5.5229,5.5507,5.4493,5.4676,3315713
2017-12-11,5.4769,5.5137,5.4676,5.4676,2528136
2017-12-12,5.4861,5.735,5.4493,5.6244,7304262
2017-12-13,5.6429,5.6521,5.5229,5.5507,2061474
2017-12-14,5.5229,5.5783,5.4493,5.4584,4500676
2017-12-15,5.4769,5.5692,5.4584,5.4676,8178004
2017-12-18,5.5323,5.7166,5.5045,5.7073,3558102
2017-12-19,5.6798,5.7535,5.6337,5.6706,3782127
2017-12-20,5.6429,5.6798,5.5783,5.6059,2155939
2017-12-21,5.6244,5.6244,5.5415,5.5507,2654476
2017-12-22,5.5507,5.6706,5.5229,5.6337,2891295
2017-12-27,5.6521,5.8734,5.6521,5.8734,2908545
2017-12-28,5.855,5.855,5.7443,5.7443,2507124
2017-12-29,5.7627,5.7997,5.7166,5.7997,1381135
2018-01-03,5.7905,5.8365,5.6337,5.7258,6615962
2018-01-04,5.7443,5.855,5.6798,5.8088,6622032
2018-01-05,5.8457,5.855,5.7166,5.7812,3953983
2018-01-08,5.7905,5.7997,5.7166,5.7258,2739800
2018-01-09,5.7535,5.7905,5.6798,5.772,6077448
2018-01-10,5.7443,5.7812,5.6798,5.735,4232173
2018-01-11,5.7258,5.8088,5.6798,5.8088,8124348
2018-01-12,5.8088,5.9195,5.7997,5.855,4648661
2018-01-15,5.855,5.9379,5.855,5.9286,2633637
2018-01-16,5.9286,6.1869,5.9011,6.15,8271962
2018-01-17,6.15,6.1961,6.1132,6.1961,3043130
2018-01-18,6.1961,6.2699,6.1593,6.2329,2836340
2018-01-19,6.1961,6.2329,6.1316,6.2329,2664627
2018-01-22,6.15,6.2237,6.1316,6.1593,4781871
2018-01-23,6.1869,6.2699,6.1684,6.2422,4601159
2018-01-24,6.2422,6.2606,6.15,6.2606,2368336
2018-01-25,6.2606,6.316,6.2237,6.2975,2362775
2018-01-26,6.1776,6.2146,6.0117,6.15,6711512
2018-01-29,6.15,6.2146,6.1132,6.1776,3272458
2018-01-30,6.1316,6.1684,6.0486,6.0855,4522029
2018-01-31,6.0855,6.1316,5.9933,6.0486,3503261
2018-02-01,6.0301,6.1132,5.9563,6.067,3068024
2018-02-02,6.067,6.0763,5.9933,6.0763,2807130
2018-02-05,5.984,6.0578,5.9471,5.9933,3123550
2018-02-06,5.8827,5.9286,5.735,5.772,5546442
2018-02-07,5.7997,5.8457,5.7535,5.772,4661285
2018-02-08,5.7812,5.8088,5.6429,5.6429,3714572
2018-02-09,5.6059,5.7627,5.5045,5.6891,11074457
2018-02-12,5.7166,5.8827,5.7166,5.855,3637961
2018-02-13,5.8919,5.9011,5.8273,5.9011,3290399
2018-02-14,5.9195,5.9471,5.818,5.9471,3791358
2018-02-15,5.9471,5.9748,5.818,5.818,3810982
2018-02-16,5.8734,5.9195,5.7905,5.8088,2026425
2018-02-19,5.818,5.8642,5.6798,5.7073,1758231
2018-02-20,5.7073,5.7535,5.6798,5.7166,1455775
2018-02-21,5.735,5.8273,5.7073,5.8273,1691176
2018-02-22,5.7443,5.772,5.6152,5.6982,5062098
2018-02-23,5.7166,5.7535,5.6891,5.7535,1828619
2018-02-26,5.772,5.7812,5.7258,5.7258,1591268
2018-02-27,5.7166,5.7443,5.5876,5.6152,3854640
2018-02-28,5.5967,5.7258,5.5876,5.5876,4767406
2018-03-01,5.6429,5.6614,5.5507,5.6244,4934656
2018-03-02,5.6152,5.6152,5.4861,5.5137,5212646
2018-03-05,5.5323,5.5323,5.4584,5.5137,2281258
2018-03-06,5.5415,5.5876,5.44,5.4676,5401460
2018-03-07,5.4676,5.5045,5.3939,5.4676,4421004
2018-03-08,5.4676,5.6059,5.4676,5.5783,3502703
2018-03-09,5.5783,5.6706,5.5323,5.6706,2963387
2018-03-12,5.6798,5.7073,5.5783,5.6891,1490500
2018-03-13,5.6429,5.6614,5.5507,5.5507,3398670
2018-03-14,5.5507,5.5967,5.4493,5.4493,4446397
2018-03-15,5.4493,5.5323,5.4493,5.5045,4004629
2018-03-16,5.5045,5.5876,5.4493,5.4584,11442721
2018-03-19,5.4584,5.5507,5.4493,5.4769,3558504
2018-03-20,5.4769,5.5045,5.4123,5.4123,4119456
2018-03-21,5.4123,5.4769,5.3387,5.3847,5853617
2018-03-22,5.3847,5.5783,5.3847,5.3939,10149736
2018-03-23,5.3847,5.4952,5.3755,5.44,7471047
2018-03-26,5.4216,5.4676,5.3663,5.3939,2477772
2018-03-27,5.4493,5.4861,5.311,5.311,5584879
2018-03-28,5.2556,5.3755,5.2003,5.3294,3710266
2018-03-29,5.3478,5.3939,5.2095,5.2095,3290102
2018-04-03,5.2371,5.2833,5.1265,5.1634,5383491
2018-04-04,5.1634,5.191,4.979,4.979,6497447
2018-04-05,5.0159,5.2833,5.0159,5.2648,6762666
2018-04-06,5.2925,5.4123,5.1634,5.4031,2651820
2018-04-09,5.3663,5.4952,5.357,5.4952,3677852
2018-04-10,5.4952,5.5692,5.4216,5.5415,6611154
2018-04-11,5.5415,5.5876,5.5045,5.5692,5133868
2018-04-12,5.5229,5.6059,5.4861,5.5415,5088154
2018-04-13,5.5692,5.5783,5.5137,5.5783,4592369
2018-04-16,5.5783,5.6244,5.5415,5.5967,984006
2018-04-17,5.5783,5.6429,5.5692,5.6429,2271434
2018-04-18,5.6244,5.7073,5.5876,5.7073,6433714
2018-04-19,5.6891,5.735,5.6614,5.6798,3326100
2018-04-20,5.6337,5.6614,5.56,5.56,6389370
2018-04-23,5.5507,5.6244,5.5323,5.5783,3970563
2018-04-24,5.5876,5.6706,5.5783,5.5783,5162148
2018-04-25,5.5783,5.6244,5.5415,5.5507,2540959
2018-04-26,5.5507,5.735,5.5507,5.7073,2355577
2018-04-27,5.6798,5.7073,5.6244,5.6521,1834107
2018-04-30,5.6337,5.7166,5.6337,5.6982,1762642
2018-05-02,5.6429,5.735,5.6059,5.6152,1607410
2018-05-04,5.5876,5.6982,5.56,5.56,3378752
2018-05-07,5.5692,5.6798,5.56,5.6059,1830942
2018-05-08,5.5967,5.7258,5.5967,5.7166,4793255
2018-05-09,5.6982,5.8365,5.6982,5.7627,2805082
2018-05-10,5.7812,5.8734,5.772,5.8642,3081586
2018-05-11,5.8642,5.8827,5.8273,5.8827,2192643
2018-05-14,5.8827,5.984,5.8734,5.9471,1768610
2018-05-15,5.9471,5.9471,5.7627,5.8088,2170808
2018-05-16,5.8088,5.8734,5.7627,5.8088,2086643
2018-05-17,5.7627,5.8642,5.6244,5.6429,3892264
2018-05-18,5.6521,5.7258,5.5967,5.5967,3777582
2018-05-21,5.6152,5.6982,5.5967,5.6521,3127986
2018-05-22,5.6429,5.7258,5.6152,5.6706,2991436
2018-05-23,5.6244,5.7073,5.5876,5.6706,3627261
2018-05-24,5.6337,5.7535,5.5967,5.6152,3216853
2018-05-25,5.6337,5.7073,5.5967,5.6798,4446595
2018-05-28,5.6706,5.6891,5.4769,5.5323,2762148
2018-05-29,5.5045,5.5323,5.3478,5.44,4931072
2018-05-30,5.4493,5.4769,5.2371,5.2741,9007489
